perturb_parameter,perturb_frac,run_label,run_dir,status,signal_fit_ns_log_evidence,signal_fit_ns_log_evidence_err,signal_fit_ins_log_evidence,signal_fit_ins_log_evidence_err,no_signal_ns_log_evidence,no_signal_ns_log_evidence_err,no_signal_ins_log_evidence,no_signal_ins_log_evidence_err,selected_source,delta_log_evidence,bayes_factor_signal_over_no_signal,log10_bayes_factor_signal_over_no_signal,note
antenna_diameter,-0.2,antdiam_-2.0e-01,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_-2.0e-01,ok,693867270210.1902,,693867270208.5114,0.027519402964498542,693867269334.5455,1098.727444508949,693867269333.7455,0.0399599510278131,ins,874.765869140625,,379.90598992507546,
antenna_diameter,-0.1,antdiam_-1.0e-01,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_-1.0e-01,ok,693867275357.015,,693867275355.0878,0.031903292600706526,693867275218.8888,,693867275218.4689,0.026255642182545554,ins,136.618896484375,2.151953421382491e+59,59.33283286687563,
antenna_diameter,-0.05,antdiam_-5.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_-5.0e-02,ok,693867276577.28,1345.800862987308,693867276575.0665,0.03647283695623771,693867276570.1714,,693867276569.5194,0.043445019006712014,ins,5.547119140625,256.4975571092691,2.409083233233346,
antenna_diameter,-0.02,antdiam_-2.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_-2.0e-02,ok,693867276962.2179,,693867276960.3231,0.032044280402146026,693867276968.3099,,693867276967.9548,0.022959524519455075,ins,-7.6317138671875,0.00048482921299942603,-3.3144112199840574,
antenna_diameter,-0.01,antdiam_-1.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_-1.0e-02,ok,693867277029.894,1420.0427599023812,693867277027.9026,0.06941540298895357,693867277036.0007,634.4499562008698,693867277035.1447,0.053656126515159594,ins,-7.2420654296875,0.0007158317320778581,-3.1451890536955833,
antenna_diameter,0.0,antdiam_0.0e+00,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_0.0e+00,ok,693867277072.8502,1199.8148625862927,693867277070.8759,0.02485106765831198,693867277079.2909,672.8781570875085,693867277078.6125,0.04507826497643212,ins,-7.7366943359375,0.0004365121552743583,-3.3600036582697994,
antenna_diameter,0.01,antdiam_1.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_1.0e-02,ok,693867277089.4858,,693867277087.8915,0.11138903196324591,693867277096.1864,938.1409214365664,693867277095.6154,0.039877072908796427,ins,-7.723876953125,0.00044214310862312616,-3.354437139641889,
antenna_diameter,0.02,antdiam_2.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_2.0e-02,ok,693867277078.987,,693867277077.5645,0.27355242963529236,693867277085.5692,,693867277085.115,0.031115965448587742,ins,-7.550537109375,0.0005258276243087518,-3.279156602007292,
antenna_diameter,0.05,antdiam_5.0e-02,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_5.0e-02,ok,693867276889.7473,,693867276888.1278,0.08636119950008343,693867276883.691,,693867276883.1498,0.03758483956053946,ins,4.97802734375,145.1876935669166,2.1619298061541268,
antenna_diameter,0.1,antdiam_1.0e-01,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_1.0e-01,ok,693867276126.3145,,693867276124.4874,0.03313839998039367,693867276012.4231,,693867276011.7572,0.046025895910267886,ins,112.730224609375,9.080598873420802e+48,48.95811449156572,
antenna_diameter,0.2,antdiam_2.0e-01,/shared/UKSRC-ST/ps550/validation_results/UKSRC/bayeseor/airy_diam14m/GSM_plus_GLEAM/_sweeps/sweep_airy_init/validation_airy_diam14m/antdiam_2.0e-01,ok,693867273426.7834,,693867273425.4642,0.09957469428658355,693867273064.6195,,693867273063.984,0.04405389169924036,ins,361.480224609375,9.746907959014532e+156,156.9888668649996,
