Name	Number	BeamID	E	N	U
ANT0	0	0	-21.9	-37.931912685758405	0.0
ANT1	1	0	-7.3	-37.931912685758405	0.0
ANT2	2	0	7.3	-37.931912685758405	0.0
ANT3	3	0	21.9	-37.931912685758405	0.0
ANT4	4	0	-29.2	-25.287941790505606	0.0
ANT5	5	0	-14.6	-25.287941790505606	0.0
ANT6	6	0	0.0	-25.287941790505606	0.0
ANT7	7	0	14.6	-25.287941790505606	0.0
ANT8	8	0	29.2	-25.287941790505606	0.0
ANT9	9	0	-36.5	-12.643970895252803	0.0
ANT10	10	0	-21.9	-12.643970895252803	0.0
ANT11	11	0	-7.3	-12.643970895252803	0.0
ANT12	12	0	7.3	-12.643970895252803	0.0
ANT13	13	0	21.9	-12.643970895252803	0.0
ANT14	14	0	36.5	-12.643970895252803	0.0
ANT15	15	0	-43.8	0.0	0.0
ANT16	16	0	-29.2	0.0	0.0
ANT17	17	0	-14.6	0.0	0.0
ANT18	18	0	0.0	0.0	0.0
ANT19	19	0	14.6	0.0	0.0
ANT20	20	0	29.2	0.0	0.0
ANT21	21	0	43.8	0.0	0.0
ANT22	22	0	-36.5	12.643970895252803	0.0
ANT23	23	0	-21.9	12.643970895252803	0.0
ANT24	24	0	-7.3	12.643970895252803	0.0
ANT25	25	0	7.3	12.643970895252803	0.0
ANT26	26	0	21.9	12.643970895252803	0.0
ANT27	27	0	36.5	12.643970895252803	0.0
ANT28	28	0	-29.2	25.287941790505606	0.0
ANT29	29	0	-14.6	25.287941790505606	0.0
ANT30	30	0	0.0	25.287941790505606	0.0
ANT31	31	0	14.6	25.287941790505606	0.0
ANT32	32	0	29.2	25.287941790505606	0.0
ANT33	33	0	-21.9	37.931912685758405	0.0
ANT34	34	0	-7.3	37.931912685758405	0.0
ANT35	35	0	7.3	37.931912685758405	0.0
ANT36	36	0	21.9	37.931912685758405	0.0
